ds_cargo;nr_turno;sg_uf;qt_secoes_agregadas;qt_votos_brancos;qt_votos_nulos;qt_votos_validos;dt_carga
Governador;1;PR;154;329657;393173;6082521;2022-10-06 17:26:33
Governador;1;RJ;2482;591576;894384;8400962;2022-10-06 17:26:33
Governador;1;RN;331;95721;162027;1828974;2022-10-06 17:26:33
Governador;1;RO;593;30765;44643;850355;2022-10-06 17:26:33
Governador;1;RR;119;3029;12357;288933;2022-10-06 17:26:33
Governador;1;RS;228;341049;190415;6351629;2022-10-06 17:26:33
Governador;1;SC;562;223025;166742;4081023;2022-10-06 17:26:33
Governador;1;SE;343;62604;84140;757938;2022-10-06 17:26:33
Governador;1;SP;555;1645522;2149776;23352549;2022-10-06 17:26:33
Governador;1;TO;131;23065;38314;827817;2022-10-06 17:26:33
Presidente;1;AC;156;4664;10322;440917;2022-10-06 17:26:33
Presidente;1;AL;194;28792;52962;1724217;2022-10-06 17:26:33
Presidente;1;AM;486;19570;37525;2056676;2022-10-06 17:26:33
Presidente;1;AP;97;3289;7392;432161;2022-10-06 17:26:33
Presidente;1;BA;2393;123450;328383;8423008;2022-10-06 17:26:33
Presidente;1;CE;2041;72246;127100;5429264;2022-10-06 17:26:33
Presidente;1;DF;235;25162;32163;1762575;2022-10-06 17:26:33
Presidente;1;ES;381;39541;55218;2221130;2022-10-06 17:26:33
Presidente;1;GO;782;48539;82589;3681469;2022-10-06 17:26:33
Presidente;1;MA;3070;35605;103185;3781645;2022-10-06 17:26:33
Presidente;1;MG;2503;229425;409170;12016633;2022-10-06 17:26:33
Presidente;1;MS;237;17651;30509;1506989;2022-10-06 17:26:33
Presidente;1;MT;801;18680;30612;1842888;2022-10-06 17:26:33
Presidente;1;PA;1472;40902;68473;4679936;2022-10-06 17:26:33
Presidente;1;PB;134;41922;93869;2421688;2022-10-06 17:26:33
Presidente;1;PE;850;90092;196270;5452009;2022-10-06 17:26:33
Presidente;1;PI;1700;19477;51782;2044386;2022-10-06 17:26:33
Presidente;1;PR;154;108894;152885;6566764;2022-10-06 17:26:33
Presidente;1;RJ;2482;159773;293013;9456677;2022-10-06 17:26:33
Presidente;1;RN;331;26151;57189;2007264;2022-10-06 17:26:33
Presidente;1;RO;593;9350;14242;903235;2022-10-06 17:26:33
Presidente;1;RR;119;2255;4780;298369;2022-10-06 17:26:33
Presidente;1;RS;228;129345;122919;6637752;2022-10-06 17:26:33
Presidente;1;SC;562;66871;89619;4330984;2022-10-06 17:26:33
Presidente;1;SE;343;20224;46068;1298432;2022-10-06 17:26:33
Presidente;1;SP;555;571257;962123;25656334;2022-10-06 17:26:33
Presidente;1;TO;131;6795;22862;861792;2022-10-06 17:26:33
Presidente;1;ZZ;1133;4857;4650;294525;2022-10-06 17:26:33
Senador;1;AC;156;16867;26622;411949;2022-10-06 17:26:33
Senador;1;AL;194;115519;174572;1486153;2022-10-06 17:26:33
Senador;1;AM;486;90811;127294;1882570;2022-10-06 17:26:33
Senador;1;AP;97;10978;21613;400159;2022-10-06 17:26:33
Senador;1;BA;2393;533156;1098493;7233261;2022-10-06 17:26:33
Senador;1;CE;2041;313270;451233;4856028;2022-10-06 17:26:33
